date,bdi,Mode00,Mode01,Mode02,Mode03,Mode04,Mode05,Mode06,Mode07,Mode08,Mode09,Mode10
2020/2/15,425.0,5.407456,4.6413884,7.1181393,-7.946301,-144.10294,-982.3341,164.38538,17.62813,326.47855,-202.795,1218.3525
2020/2/16,425.0,-5.5036654,1.6003435,8.52658,3.8653932,-130.1974,-983.7755,156.30258,10.581919,345.22772,-255.98427,1234.5336
2020/2/17,434.0,-0.3703052,4.8234024,-6.905974,7.5272846,-104.267624,-1014.8759,155.40897,21.470581,356.4696,-268.66742,1238.5275
2020/2/18,450.0,-0.48336092,-2.0777416,11.310933,19.186028,-111.18661,-1017.10034,170.29248,10.957483,324.7132,-228.13521,1224.352
2020/2/19,465.0,-1.9150605,4.9645863,-2.187846,10.137835,-88.0516,-1018.9515,166.68845,-0.16126442,314.16983,-208.80486,1219.37
2020/2/20,480.0,0.14083093,16.089195,26.047915,17.670181,-85.03664,-997.2554,122.51093,-0.62211514,310.78735,-200.70338,1223.957
2020/2/21,497.0,2.0264883,6.806476,24.980482,37.50584,-51.337387,-1007.3419,127.79218,3.7568545,304.83505,-177.9086,1192.9979
2020/2/22,497.0,-1.0500609,15.830691,18.605984,22.677513,-52.266308,-993.10254,109.405205,8.558619,322.6483,-216.08748,1214.8293
2020/2/23,497.0,-0.48962775,10.154877,14.896465,36.708164,-45.03863,-990.4831,108.95428,0.68737507,286.45203,-156.26971,1194.2938
2020/2/24,506.0,-1.5737603,-7.0495224,7.5832334,44.38329,-12.767809,-979.60547,105.397575,-4.389926,306.65158,-201.70305,1197.5195
2020/2/25,508.0,-1.6546903,-2.2188427,4.5242424,44.894276,-6.7791433,-988.5077,101.75382,0.30466843,294.64163,-177.26474,1196.5826
2020/2/26,517.0,3.9800892,11.02362,4.31301,33.057796,9.742146,-949.3958,46.099342,-7.282612,326.3221,-219.51332,1217.6144
2020/2/27,529.0,-8.078299,0.7954093,-4.803981,36.94446,11.313601,-965.5925,85.224174,-5.2634144,279.0713,-150.3359,1183.2887
2020/2/28,535.0,3.2694206,6.755778,8.44423,30.2785,16.847996,-941.597,64.945045,-12.701353,298.3547,-177.02672,1196.854
2020/2/29,535.0,3.20735,7.195011,0.44845402,50.24736,30.91922,-914.5869,35.110046,-8.452391,314.20807,-210.46715,1205.8109
2020/3/1,535.0,-4.9954715,14.711338,-3.0798414,30.300697,34.12034,-883.0595,32.880096,-9.69569,301.48026,-186.83954,1183.1506
2020/3/2,539.0,3.5878217,4.522396,-1.7928118,37.772987,65.07374,-871.0258,-13.584454,-5.6921654,289.53442,-181.74756,1204.4786
2020/3/3,549.0,3.057463,1.0482546,9.303758,27.154253,58.458687,-847.5663,-28.438751,-9.889858,288.40744,-173.51848,1194.1964
2020/3/4,562.0,-4.843582,-3.389179,16.784904,24.619612,79.120384,-856.20966,-6.6356697,-16.51427,288.70477,-177.5525,1186.7712
2020/3/5,599.0,-3.345077,10.665742,1.194041,25.63104,64.932915,-818.64734,-31.226295,-27.252024,327.5371,-234.20293,1216.6781
2020/3/6,617.0,3.51084,18.604849,12.783388,21.877151,84.108055,-784.6708,-53.292366,-23.601496,309.69693,-212.8019,1201.7944
2020/3/7,617.0,-4.2958674,10.527638,26.799696,27.765373,81.46221,-760.0597,-81.614296,-18.90345,296.17462,-194.06178,1203.4929
2020/3/8,617.0,-4.38577,7.7748756,28.052618,31.107174,95.29153,-745.9108,-89.3682,-16.525297,300.3452,-216.99248,1210.534
2020/3/9,616.0,1.3682771,5.9572725,13.247269,37.313873,103.14909,-719.4047,-108.62338,-23.25017,314.3111,-228.01653,1210.4479
2020/3/10,627.0,-2.5729694,0.8996318,12.985627,31.227896,105.59992,-661.8657,-141.80505,-37.20829,298.24158,-198.10272,1197.937
2020/3/11,631.0,-4.4990716,-0.7868103,11.004515,28.197622,110.52607,-640.9137,-166.82245,-27.84226,305.03516,-223.98927,1211.495
2020/3/12,633.0,1.1517966,4.42695,-0.001427345,23.764442,110.60174,-634.90405,-162.27878,-26.442133,301.25018,-212.26909,1201.4432
2020/3/13,631.0,-4.590176,9.086647,1.5786694,42.895985,109.14571,-570.1613,-207.9776,-36.464737,282.19965,-184.4447,1192.6559
2020/3/14,631.0,-10.131912,2.275622,-17.41984,26.94589,107.90461,-569.4468,-198.37933,-37.206116,267.44055,-163.23204,1186.0625
2020/3/15,631.0,3.2365756,4.0532203,-6.1533575,18.930323,124.660355,-576.08014,-198.14664,-28.614134,298.49182,-201.56706,1192.8518
2020/3/16,623.0,-1.34057,-8.1574745,-4.0425963,9.3439665,125.25174,-536.6625,-221.84933,-35.865242,268.43027,-170.84637,1188.9924
2020/3/17,612.0,3.3054721,4.735594,-1.8490087,14.998274,107.39565,-464.24115,-267.44247,-41.924477,295.34323,-196.71709,1180.8157
2020/3/18,629.0,-7.9422216,-0.4767279,-13.076992,2.7484133,111.10769,-462.5089,-264.82144,-47.50154,292.73026,-196.76744,1187.9946
2020/3/19,630.0,0.10169741,5.6203747,1.0534526,-0.019752555,103.41631,-440.9549,-264.95654,-45.001198,288.62323,-203.32802,1185.1886
2020/3/20,625.0,-1.095342,-3.771486,-3.334736,-9.096054,102.43168,-437.03424,-270.24063,-49.210655,283.62738,-193.75572,1183.4756
2020/3/21,625.0,-5.0151687,1.9016804,-2.701968,-14.377749,101.475945,-416.18445,-279.0129,-50.695663,282.39105,-189.75003,1178.3147
2020/3/22,625.0,-4.633003,-4.550568,-7.815547,-16.32236,101.89081,-376.12378,-324.84958,-40.55757,286.78036,-193.2751,1180.2717
2020/3/23,617.0,3.397092,3.6649613,1.3314996,-1.7862035,106.79192,-357.29175,-334.35367,-32.73272,299.80273,-247.0692,1203.597
2020/3/24,603.0,-1.7790843,-0.5369155,-4.8224406,-24.200277,86.09851,-308.55493,-351.90494,-56.408577,290.6278,-223.84215,1190.9906
2020/3/25,582.0,8.61869,-13.496916,-8.461272,-6.095585,76.29177,-257.1137,-381.70395,-68.32184,294.28696,-226.37498,1190.0002
2020/3/26,569.0,0.21573895,-4.360718,-15.915617,-25.657572,78.24662,-256.68005,-380.11868,-60.74066,271.2492,-187.39375,1168.9135
2020/3/27,556.0,-6.503726,-7.841502,-9.906015,-27.720383,58.366276,-250.504,-376.01334,-59.457832,295.48523,-222.34929,1171.6826
2020/3/28,556.0,3.9417064,-6.9345665,-12.302824,-29.122972,58.912582,-233.7685,-372.17868,-71.74995,267.56458,-174.4998,1152.7393
2020/3/29,556.0,-6.409587,5.273506,-26.371943,-34.12301,42.968464,-220.22166,-396.151,-65.215935,299.773,-229.89827,1172.5342
2020/3/30,548.0,4.0819054,9.2778225,-11.940595,-31.61396,39.792564,-225.62448,-387.88342,-64.9393,285.40564,-225.43785,1178.109
2020/3/31,626.0,6.327096,-1.2460064,1.633618,-36.822906,27.31424,-204.5084,-382.74524,-80.59919,254.56688,-174.47865,1160.8191
2020/4/1,624.0,-4.146502,15.831571,2.5217354,-34.03299,25.519392,-187.14351,-403.9238,-80.47088,302.33755,-246.5772,1187.9099
2020/4/2,624.0,1.3698218,26.052595,15.86437,-26.951624,18.898323,-134.3387,-434.8354,-83.04447,271.16876,-209.0204,1170.8896
2020/4/3,616.0,3.0444002,2.9728448,21.689299,-2.978112,15.753495,-145.6632,-418.5308,-90.41926,291.32828,-220.04259,1165.1592
2020/4/4,616.0,-0.2316674,-0.94625634,34.95941,-5.0088906,-3.0681314,-97.903465,-443.70013,-89.661514,224.12971,-149.07188,1152.7075
