Actual,Predict,Actual0,Predict0,Actual1,Predict1,Actual2,Predict2,Actual3,Predict3,Actual4,Predict4,Actual5,Predict5,Actual6,Predict6,Actual7,Predict7,Actual8,Predict8,Actual9,Predict9,Actual10,Predict10
1570.0,1525.5687,7.614879186814472,0.5077826,-11.292214517926817,-6.22019,17.084667936461585,23.707258,87.23487975965678,80.49273,-23.01997015521482,-36.605873,-104.69636150875827,-97.897385,146.52939579279754,154.45966,140.43393765136003,148.63136,398.97988046630127,352.2187,-411.5564818744723,-379.83618,1305.0797861094343,1286.1108
1574.0,1527.4668,-12.069865959607885,-0.24733639,7.688543213390581,-9.38925,0.9460467564319677,20.054766,85.2473636228917,84.37813,1.3219867120246767,-21.365059,-106.43170027028772,-105.25152,143.82459969190322,145.27982,127.03895617467974,140.45963,393.3281822558352,373.50467,-353.93817416108976,-396.3894,1274.3317995055959,1296.4324
1554.0,1540.3284,13.342072089763684,-1.7779794,-6.049324792270689,3.8943355,-3.906475985114895,0.99148434,81.3393003859308,82.41791,-4.020450929651796,3.9280012,-103.93242297511269,-106.86184,145.74073707522618,142.50641,139.93464785631477,126.5282,377.6162925580179,368.5969,-325.9905215322737,-346.98383,1247.8970301839825,1267.0889
1536.0,1518.5383,3.2648214026889972,-4.6313725,-11.32832885793546,-3.5951426,-16.421463414993465,-3.7625034,60.60155883426503,79.134125,23.65207284574047,-1.625651,-102.52136513230873,-104.357956,131.36935516917646,144.42514,147.32318983002494,139.92934,416.4707492219647,354.69595,-403.96694965971824,-323.4328,1288.247128855066,1241.7593
1536.0,1517.5059,-9.436078436814647,-3.2005384,-17.80166299844792,-5.715622,-12.772638900408113,-14.822217,53.41849871020805,60.602814,35.401472084503595,26.539238,-111.82374573513216,-102.80327,147.94443677366766,129.78699,140.705779370923,147.62585,394.9536306925552,388.91922,-368.45739490371676,-389.80127,1274.7164272018065,1280.3746
1536.0,1523.4602,-26.56289930699703,2.622097,-0.2850626385145486,-12.557035,-17.771380957497232,-12.842239,43.287433881163075,54.567097,46.631731542178905,38.186825,-105.49259191076997,-112.04359,139.39699664167094,146.74707,131.24635211368155,140.73042,439.32904024944435,369.98526,-428.50655341426864,-359.35907,1300.286670309479,1267.4233
1530.0,1543.8933,10.029185074888455,8.270891,-2.813415193833392,1.7969702,-16.716544873166427,-16.219961,39.71134891186062,46.62312,36.63728056823282,49.432236,-104.49552558846378,-105.56033,138.7571704261534,138.02414,138.55008806983673,130.87674,424.89214941224725,409.2566,-421.4327538164961,-410.56482,1302.3496004572496,1291.9578
1503.0,1514.0643,-16.72937577020123,-8.221111,-11.127781258460361,-0.7809482,-24.916945426354474,-16.44842,10.417070634476676,43.81397,49.32133007948507,38.93458,-114.13848683402064,-104.56357,130.23420570146465,137.35013,145.38525561500833,138.48637,392.68982610802425,396.3967,-354.2099819967348,-404.72894,1270.5535168664774,1293.8256
1493.0,1486.4414,7.876519944245156,2.023674,-17.79603776190738,-2.861448,-32.65725508092236,-22.266733,6.5467181047533325,13.932225,55.516214091475824,51.508286,-106.1778997539822,-114.18324,125.44004573054576,128.60208,147.79359712394375,145.55731,363.7793952161598,368.08472,-311.315425521036,-347.3443,1251.6940994313877,1263.3889
1515.0,1467.1669,3.765355461426014,-2.9318724,-6.069726687622142,-8.388951,-30.885920825155274,-30.153877,-15.221410618383874,9.229365,56.550945166962435,57.633118,-106.66404987134261,-106.0483,134.46112187675612,123.73853,127.77052204660725,148.0456,410.32394479387915,341.65515,-381.62830172863187,-311.12018,1294.1207299340556,1245.5083
1579.0,1472.3607,21.92710633951215,1.6507795,26.56668214044546,1.8988765,-0.15296696849380384,-28.095135,-6.431739994279176,-14.313752,56.80809138047744,58.585007,-106.36135542234746,-106.52573,115.23583330636137,133.07901,152.80889766232374,127.24851,402.78325455253446,383.444,-388.3511916433224,-370.60132,1294.9502066221667,1285.9905
1579.0,1510.0845,7.875268938412314,-2.5320396,35.78167037777038,16.18308,16.480371967009514,-3.8717897,-15.124644567993712,-5.703151,71.11195575611819,58.49349,-104.43137809559835,-106.0988,118.63127483521559,113.20895,136.66981688914674,153.17209,406.2496536753484,376.82217,-360.97661497561694,-376.54303,1283.6574386268292,1286.9535
1579.0,1542.762,5.921978868639405,-0.13833648,6.413790416360959,18.705921,28.18604016058564,13.737397,-3.926485649255757,-14.835321,59.37400406245657,73.196915,-99.24952392674128,-104.14561,119.5679204113988,116.76409,131.26378373971988,136.4627,445.79485560468345,379.84497,-437.5186515136804,-353.01276,1320.391589260419,1276.182
1584.0,1533.5624,-5.559519183720865,-9.314907,6.724914363215151,4.1073656,31.528452464966637,24.929226,-3.027002800177486,-4.6771107,68.358424786549,60.747326,-91.12608331716666,-98.92929,110.64837560688004,117.808464,139.0973598340205,130.88292,421.20167771121726,415.0015,-397.50413771930795,-418.41254,1302.8637066422355,1311.4194
